id,name,category,price,base_sales,weekend_mult,weekday_mult
D01,Phở Bò Tái Nạm,Món Nước,60000,80,1.45,1.0
D02,Phở Gà Ta Lá Chanh,Món Nước,55000,60,1.4,1.0
D03,Bún Chả Hà Nội,Món Khô,65000,90,1.35,1.1
D04,Bún Bò Huế Cốt Đậm,Món Nước,65000,65,1.5,1.0
D05,Bún Thịt Nướng Chả Giò,Món Khô,55000,70,1.4,1.0
D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,55000,110,1.25,1.3
D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,60000,80,1.3,1.2
D08,Cơm Tấm Sườn Bì Chả,Món Khô,65000,105,1.4,1.1
D09,Bánh Mì Thịt Nướng Giòn,Món Khô,35000,120,1.2,1.4
D10,Bánh Mì Chảo Thập Cẩm,Món Khô,50000,55,1.6,0.9
D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,60000,45,1.5,0.9
D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,40000,50,1.35,1.0
D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,35000,60,1.7,0.8
D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,50000,70,1.6,0.9
D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,28000,150,1.1,1.5
D16,Bạc Xỉu Đá,Cà Phê,30000,80,1.2,1.3
D17,Cà Phê Muối Xứ Huế,Cà Phê,35000,75,1.3,1.2
D18,Americano Đá,Cà Phê,30000,50,1.0,1.4
D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,38000,95,1.5,1.1
D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,42000,130,1.7,1.0
D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,45000,60,1.5,1.0
D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,35000,55,1.4,1.0
